time error 
0 0.35988
0.036072 0.29717
0.072144 0.24066
0.10822 0.19085
0.14429 0.14873
0.18036 0.11623
0.21643 0.096342
0.25251 0.09119
0.28858 0.098282
0.32465 0.11191
0.36072 0.12752
0.39679 0.14267
0.43287 0.15621
0.46894 0.16767
0.50501 0.17688
0.54108 0.18382
0.57715 0.18859
0.61323 0.19134
0.6493 0.19225
0.68537 0.19152
0.72144 0.1894
0.75752 0.1861
0.79359 0.1819
0.82966 0.17704
0.86573 0.1718
0.9018 0.16645
0.93788 0.16126
0.97395 0.1565
1.01 0.15241
1.0461 0.14919
1.0822 0.14701
1.1182 0.14596
1.1543 0.14607
1.1904 0.1473
1.2265 0.14954
1.2625 0.15266
1.2986 0.15648
1.3347 0.16082
1.3707 0.1655
1.4068 0.17036
1.4429 0.17524
1.479 0.18002
1.515 0.18458
1.5511 0.18885
1.5872 0.19274
1.6232 0.19621
1.6593 0.19922
1.6954 0.20175
1.7315 0.20378
1.7675 0.20531
1.8036 0.20636
1.8397 0.20695
1.8758 0.20711
1.9118 0.20688
1.9479 0.20631
1.984 0.20546
2.02 0.20438
2.0561 0.20315
2.0922 0.20182
2.1283 0.20049
2.1643 0.19921
2.2004 0.19806
2.2365 0.1971
2.2725 0.19639
2.3086 0.19598
2.3447 0.1959
2.3808 0.19619
2.4168 0.19684
2.4529 0.19785
2.489 0.19921
2.5251 0.20088
2.5611 0.20282
2.5972 0.20497
2.6333 0.20728
2.6693 0.20968
2.7054 0.2121
2.7415 0.21449
2.7776 0.21679
2.8136 0.21895
2.8497 0.22092
2.8858 0.22267
2.9218 0.22417
2.9579 0.2254
2.994 0.22636
3.0301 0.22706
3.0661 0.2275
3.1022 0.2277
3.1383 0.22771
3.1743 0.22756
3.2104 0.22729
3.2465 0.22694
3.2826 0.22658
3.3186 0.22623
3.3547 0.22596
3.3908 0.2258
3.4269 0.22578
3.4629 0.22594
3.499 0.2263
3.5351 0.22686
3.5711 0.22764
3.6072 0.22862
3.6433 0.22979
3.6794 0.23115
3.7154 0.23267
3.7515 0.23432
3.7876 0.2361
3.8236 0.23797
3.8597 0.23992
3.8958 0.24193
3.9319 0.24399
3.9679 0.24609
4.004 0.24822
4.0401 0.25037
4.0762 0.25255
4.1122 0.25474
4.1483 0.25694
4.1844 0.25916
4.2204 0.26138
4.2565 0.2636
4.2926 0.26581
4.3287 0.26801
4.3647 0.27018
4.4008 0.2723
4.4369 0.27438
4.4729 0.27641
4.509 0.27836
4.5451 0.28025
4.5812 0.28207
4.6172 0.28383
4.6533 0.28552
4.6894 0.28717
4.7255 0.28878
4.7615 0.29037
4.7976 0.29197
4.8337 0.29359
4.8697 0.29525
4.9058 0.29698
4.9419 0.29877
4.978 0.30066
5.014 0.30264
5.0501 0.30472
5.0862 0.30688
5.1222 0.30913
5.1583 0.31144
5.1944 0.31379
5.2305 0.31616
5.2665 0.31853
5.3026 0.32088
5.3387 0.32318
5.3747 0.32542
5.4108 0.32758
5.4469 0.32966
5.483 0.33165
5.519 0.33356
5.5551 0.33539
5.5912 0.33716
5.6273 0.33889
5.6633 0.34058
5.6994 0.34226
5.7355 0.34396
5.7715 0.34567
5.8076 0.34742
5.8437 0.34922
5.8798 0.35105
5.9158 0.35294
5.9519 0.35485
5.988 0.3568
6.024 0.35876
6.0601 0.36072
6.0962 0.36268
6.1323 0.36461
6.1683 0.36652
6.2044 0.3684
6.2405 0.37025
6.2766 0.37208
6.3126 0.37389
6.3487 0.37569
6.3848 0.3775
6.4208 0.37933
6.4569 0.38119
6.493 0.38309
6.5291 0.38505
6.5651 0.38706
6.6012 0.38912
6.6373 0.39122
6.6733 0.39337
6.7094 0.39553
6.7455 0.39771
6.7816 0.39988
6.8176 0.40203
