time error 
11.832 1.0093
11.868 1.0068
11.904 1.004
11.94 1.0008
11.976 0.99718
12.012 0.99319
12.048 0.98888
12.084 0.9843
12.12 0.9795
12.156 0.97454
12.192 0.9694
12.228 0.96408
12.265 0.95848
12.301 0.9525
12.337 0.94601
12.373 0.9389
12.409 0.9311
12.445 0.92262
12.481 0.91355
12.517 0.90412
12.553 0.89467
12.589 0.88565
12.625 0.87756
12.661 0.87093
12.697 0.86624
12.733 0.86384
12.77 0.86389
12.806 0.86634
12.842 0.8709
12.878 0.87708
12.914 0.88422
12.95 0.89161
12.986 0.89851
13.022 0.90428
13.058 0.90842
13.094 0.91062
13.13 0.91078
13.166 0.90903
13.202 0.90568
13.238 0.9012
13.275 0.89618
13.311 0.8912
13.347 0.88682
13.383 0.88346
13.419 0.88133
13.455 0.88048
13.491 0.88069
13.527 0.88162
13.563 0.88281
13.599 0.88376
13.635 0.88403
13.671 0.88328
13.707 0.88131
13.743 0.87813
13.78 0.87387
13.816 0.86884
13.852 0.86341
13.888 0.85798
13.924 0.85292
13.96 0.84848
13.996 0.84474
14.032 0.84162
14.068 0.83886
14.104 0.83607
14.14 0.83279
14.176 0.82857
14.212 0.82306
14.248 0.81603
14.285 0.80748
14.321 0.7976
14.357 0.78681
14.393 0.77573
14.429 0.76512
14.465 0.7558
14.501 0.74856
14.537 0.74405
14.573 0.74271
14.609 0.74466
14.645 0.74969
14.681 0.75728
14.717 0.76664
14.754 0.77686
14.79 0.78696
14.826 0.79603
14.862 0.80328
14.898 0.80814
14.934 0.81027
14.97 0.80961
15.006 0.80636
15.042 0.80097
15.078 0.79411
15.114 0.78661
15.15 0.77937
15.186 0.77325
15.222 0.76896
15.259 0.76696
15.295 0.76743
15.331 0.77019
15.367 0.77477
15.403 0.78049
15.439 0.78655
15.475 0.79218
15.511 0.79667
15.547 0.79952
15.583 0.80043
15.619 0.79935
15.655 0.79646
15.691 0.79214
15.727 0.7869
15.764 0.78135
15.8 0.7761
15.836 0.77169
15.872 0.76856
15.908 0.76696
15.944 0.76697
15.98 0.76847
16.016 0.77116
16.052 0.77463
16.088 0.77839
16.124 0.78193
16.16 0.78476
16.196 0.78649
16.232 0.78686
16.269 0.78575
16.305 0.78324
16.341 0.77959
16.377 0.77522
16.413 0.7707
16.449 0.76669
16.485 0.76384
16.521 0.76273
16.557 0.76376
16.593 0.76706
16.629 0.77249
16.665 0.77957
16.701 0.78759
16.737 0.79564
16.774 0.80273
16.81 0.80787
16.846 0.81019
16.882 0.80902
16.918 0.80398
16.954 0.79501
16.99 0.78247
17.026 0.76716
17.062 0.75038
17.098 0.73384
17.134 0.71964
17.17 0.70999
17.206 0.70695
17.242 0.71199
17.279 0.72565
17.315 0.74739
17.351 0.77563
17.387 0.80804
17.423 0.8419
17.459 0.8744
17.495 0.90288
17.531 0.92507
17.567 0.93915
17.603 0.94396
17.639 0.93911
17.675 0.92522
17.711 0.90421
17.747 0.8796
17.784 0.85697
17.82 0.844
17.856 0.84992
17.892 0.88364
17.928 0.9512
17.964 1.0541
18 1.1898
