time error 
0 2.8032
0.036072 2.6564
0.072144 2.5143
0.10822 2.3768
0.14429 2.2444
0.18036 2.1171
0.21643 1.9955
0.25251 1.8796
0.28858 1.77
0.32465 1.6671
0.36072 1.5713
0.39679 1.483
0.43287 1.4029
0.46894 1.3313
0.50501 1.2689
0.54108 1.216
0.57715 1.1729
0.61323 1.1396
0.6493 1.1161
0.68537 1.102
0.72144 1.0966
0.75752 1.0993
0.79359 1.109
0.82966 1.1248
0.86573 1.1456
0.9018 1.1705
0.93788 1.1985
0.97395 1.2288
1.01 1.2607
1.0461 1.2936
1.0822 1.327
1.1182 1.3603
1.1543 1.3932
1.1904 1.4255
1.2265 1.4568
1.2625 1.487
1.2986 1.5159
1.3347 1.5434
1.3707 1.5694
1.4068 1.5939
1.4429 1.6168
1.479 1.6381
1.515 1.6578
1.5511 1.676
1.5872 1.6926
1.6232 1.7077
1.6593 1.7214
1.6954 1.7337
1.7315 1.7447
1.7675 1.7544
1.8036 1.763
1.8397 1.7705
1.8758 1.777
1.9118 1.7826
1.9479 1.7874
1.984 1.7915
2.02 1.795
2.0561 1.7979
2.0922 1.8004
2.1283 1.8025
2.1643 1.8044
2.2004 1.806
2.2365 1.8075
2.2725 1.809
2.3086 1.8105
2.3447 1.8121
2.3808 1.8138
2.4168 1.8157
2.4529 1.8179
2.489 1.8203
2.5251 1.8231
2.5611 1.8262
2.5972 1.8297
2.6333 1.8336
2.6693 1.8379
2.7054 1.8426
2.7415 1.8478
2.7776 1.8535
2.8136 1.8596
2.8497 1.8662
2.8858 1.8732
2.9218 1.8807
2.9579 1.8887
2.994 1.8971
3.0301 1.906
3.0661 1.9153
3.1022 1.9251
3.1383 1.9353
3.1743 1.9459
3.2104 1.9569
3.2465 1.9684
3.2826 1.9803
3.3186 1.9926
3.3547 2.0052
3.3908 2.0183
3.4269 2.0317
3.4629 2.0455
3.499 2.0597
3.5351 2.0742
3.5711 2.089
3.6072 2.1042
3.6433 2.1196
3.6794 2.1354
3.7154 2.1514
3.7515 2.1677
3.7876 2.1843
3.8236 2.201
3.8597 2.218
3.8958 2.2351
3.9319 2.2523
3.9679 2.2697
4.004 2.2871
4.0401 2.3046
4.0762 2.3222
4.1122 2.3397
4.1483 2.3572
4.1844 2.3746
4.2204 2.3919
4.2565 2.4091
4.2926 2.4261
4.3287 2.4429
4.3647 2.4595
4.4008 2.4758
4.4369 2.4918
