time error 
0 1.3217
0.036072 1.2034
0.072144 1.0908
0.10822 0.9844
0.14429 0.88447
0.18036 0.79161
0.21643 0.70651
0.25251 0.63003
0.28858 0.56328
0.32465 0.50749
0.36072 0.46395
0.39679 0.43361
0.43287 0.41669
0.46894 0.41231
0.50501 0.41855
0.54108 0.43293
0.57715 0.45291
0.61323 0.47627
0.6493 0.50127
0.68537 0.52661
0.72144 0.55134
0.75752 0.57483
0.79359 0.59662
0.82966 0.61644
0.86573 0.63413
0.9018 0.64959
0.93788 0.6628
0.97395 0.6738
1.01 0.68265
1.0461 0.68944
1.0822 0.6943
1.1182 0.69734
1.1543 0.69872
1.1904 0.69859
1.2265 0.69711
1.2625 0.69444
1.2986 0.69076
1.3347 0.68623
1.3707 0.681
1.4068 0.67525
1.4429 0.66913
1.479 0.66278
1.515 0.65634
1.5511 0.64995
1.5872 0.64372
1.6232 0.63776
1.6593 0.63217
1.6954 0.62703
1.7315 0.6224
1.7675 0.61834
1.8036 0.61491
1.8397 0.61211
1.8758 0.60998
1.9118 0.60851
1.9479 0.60772
1.984 0.60758
2.02 0.60808
2.0561 0.60919
2.0922 0.61089
2.1283 0.61315
2.1643 0.61594
2.2004 0.61922
2.2365 0.62295
2.2725 0.62711
2.3086 0.63166
2.3447 0.63656
2.3808 0.64178
2.4168 0.6473
2.4529 0.65308
2.489 0.65909
2.5251 0.66529
2.5611 0.67166
2.5972 0.67817
2.6333 0.68479
2.6693 0.69148
2.7054 0.69822
2.7415 0.70497
2.7776 0.7117
2.8136 0.71838
2.8497 0.72498
2.8858 0.73147
2.9218 0.73781
2.9579 0.74399
2.994 0.74996
3.0301 0.7557
3.0661 0.7612
3.1022 0.76642
3.1383 0.77136
3.1743 0.77599
3.2104 0.78032
3.2465 0.78432
3.2826 0.788
3.3186 0.79136
3.3547 0.79442
3.3908 0.79718
3.4269 0.79967
3.4629 0.80191
3.499 0.80393
3.5351 0.80576
3.5711 0.80745
3.6072 0.80903
3.6433 0.81055
3.6794 0.81205
3.7154 0.8136
3.7515 0.81523
3.7876 0.81699
3.8236 0.81893
3.8597 0.82111
3.8958 0.82354
3.9319 0.82628
3.9679 0.82935
4.004 0.83278
4.0401 0.83658
4.0762 0.84076
4.1122 0.84532
4.1483 0.85026
4.1844 0.85556
4.2204 0.86121
4.2565 0.86717
4.2926 0.87342
4.3287 0.87992
4.3647 0.88662
4.4008 0.89349
4.4369 0.90048
4.4729 0.90754
4.509 0.91463
4.5451 0.92171
4.5812 0.92872
4.6172 0.93564
4.6533 0.94242
4.6894 0.94904
4.7255 0.95547
4.7615 0.96168
4.7976 0.96768
4.8337 0.97344
4.8697 0.97896
4.9058 0.98425
4.9419 0.98931
4.978 0.99416
5.014 0.99881
5.0501 1.0033
5.0862 1.0076
5.1222 1.0118
5.1583 1.0159
5.1944 1.0199
5.2305 1.0239
5.2665 1.0279
5.3026 1.0319
5.3387 1.036
5.3747 1.0402
5.4108 1.0444
5.4469 1.0487
5.483 1.0532
5.519 1.0578
5.5551 1.0625
5.5912 1.0673
5.6273 1.0723
5.6633 1.0774
5.6994 1.0826
5.7355 1.0879
5.7715 1.0932
5.8076 1.0987
5.8437 1.1041
5.8798 1.1096
5.9158 1.1151
5.9519 1.1206
5.988 1.1261
6.024 1.1316
6.0601 1.137
6.0962 1.1424
6.1323 1.1477
6.1683 1.1529
6.2044 1.1581
6.2405 1.1633
6.2766 1.1684
6.3126 1.1735
6.3487 1.1785
6.3848 1.1835
6.4208 1.1885
6.4569 1.1934
6.493 1.1984
6.5291 1.2033
6.5651 1.2082
6.6012 1.2131
6.6373 1.218
6.6733 1.2229
6.7094 1.2278
6.7455 1.2327
6.7816 1.2375
6.8176 1.2423
6.8537 1.2471
6.8898 1.2518
6.9259 1.2565
6.9619 1.2612
6.998 1.2658
7.0341 1.2704
7.0701 1.2749
7.1062 1.2794
7.1423 1.2839
7.1784 1.2884
7.2144 1.2928
7.2505 1.2973
7.2866 1.3018
7.3226 1.3063
7.3587 1.3109
7.3948 1.3156
7.4309 1.3203
7.4669 1.3251
7.503 1.3299
7.5391 1.3349
7.5752 1.3399
7.6112 1.345
7.6473 1.3502
7.6834 1.3554
7.7194 1.3607
7.7555 1.3659
7.7916 1.3712
7.8277 1.3764
7.8637 1.3816
7.8998 1.3868
7.9359 1.3918
7.9719 1.3967
8.008 1.4014
8.0441 1.4059
8.0802 1.4103
8.1162 1.4145
8.1523 1.4184
8.1884 1.4222
8.2244 1.4257
8.2605 1.429
8.2966 1.4321
8.3327 1.435
8.3687 1.4377
8.4048 1.4403
8.4409 1.4427
8.477 1.445
8.513 1.4473
8.5491 1.4495
8.5852 1.4517
8.6212 1.4539
8.6573 1.4561
8.6934 1.4585
8.7295 1.4609
8.7655 1.4635
8.8016 1.4663
8.8377 1.4693
8.8737 1.4724
8.9098 1.4758
8.9459 1.4795
8.982 1.4834
9.018 1.4876
9.0541 1.492
9.0902 1.4966
9.1263 1.5015
9.1623 1.5066
9.1984 1.5119
9.2345 1.5173
9.2705 1.5229
9.3066 1.5285
9.3427 1.5342
9.3788 1.5399
9.4148 1.5456
9.4509 1.5512
9.487 1.5567
9.523 1.5621
9.5591 1.5673
9.5952 1.5724
9.6313 1.5772
9.6673 1.5819
9.7034 1.5863
9.7395 1.5906
9.7756 1.5946
9.8116 1.5985
9.8477 1.6023
9.8838 1.6059
9.9198 1.6095
9.9559 1.613
9.992 1.6165
10.028 1.6201
10.064 1.6237
10.1 1.6273
10.136 1.6311
10.172 1.6349
10.208 1.6388
10.244 1.6429
10.281 1.6469
10.317 1.651
10.353 1.6552
10.389 1.6592
10.425 1.6632
10.461 1.6671
10.497 1.6708
10.533 1.6743
10.569 1.6776
10.605 1.6806
10.641 1.6834
10.677 1.6859
10.713 1.6883
10.749 1.6904
10.786 1.6924
10.822 1.6943
10.858 1.6962
10.894 1.6981
10.93 1.7
10.966 1.702
11.002 1.7041
11.038 1.7063
11.074 1.7086
11.11 1.7109
11.146 1.7131
11.182 1.7152
11.218 1.7171
11.255 1.7184
11.291 1.7192
11.327 1.7192
11.363 1.7184
11.399 1.7165
11.435 1.7135
11.471 1.7093
11.507 1.704
11.543 1.6975
11.579 1.6901
11.615 1.6819
11.651 1.6732
11.687 1.6643
11.723 1.6555
11.76 1.6473
11.796 1.64
11.832 1.6341
11.868 1.6297
11.904 1.6274
11.94 1.6271
11.976 1.6289
12.012 1.6329
12.048 1.6388
12.084 1.6464
12.12 1.6551
12.156 1.6647
12.192 1.6746
12.228 1.6843
12.265 1.6933
12.301 1.7011
12.337 1.7073
12.373 1.7117
12.409 1.7139
12.445 1.7139
12.481 1.7115
12.517 1.7069
12.553 1.7002
12.589 1.6915
12.625 1.6813
12.661 1.6699
12.697 1.6576
12.733 1.6449
12.77 1.6322
12.806 1.6198
12.842 1.608
12.878 1.5973
12.914 1.5876
12.95 1.5791
12.986 1.5719
13.022 1.5657
13.058 1.5605
