time error 
0 0.10849
0.036072 0.078634
0.072144 0.054185
0.10822 0.036457
0.14429 0.028437
0.18036 0.030805
0.21643 0.037872
0.25251 0.04518
0.28858 0.051205
0.32465 0.055577
0.36072 0.058305
0.39679 0.059545
0.43287 0.059507
0.46894 0.05843
0.50501 0.056566
0.54108 0.054177
0.57715 0.051531
0.61323 0.0489
0.6493 0.046554
0.68537 0.044743
0.72144 0.043665
0.75752 0.043432
0.79359 0.044047
0.82966 0.045411
0.86573 0.04735
0.9018 0.049662
0.93788 0.052146
0.97395 0.054626
1.01 0.056955
1.0461 0.059017
1.0822 0.060728
1.1182 0.062034
1.1543 0.062905
1.1904 0.06334
1.2265 0.06336
1.2625 0.063009
1.2986 0.062352
1.3347 0.061472
1.3707 0.060463
1.4068 0.059429
1.4429 0.058473
1.479 0.057688
1.515 0.057152
1.5511 0.056917
1.5872 0.057008
1.6232 0.057421
1.6593 0.058125
1.6954 0.059073
1.7315 0.060206
1.7675 0.061465
1.8036 0.06279
1.8397 0.064126
1.8758 0.065427
1.9118 0.066652
1.9479 0.067768
1.984 0.068746
2.02 0.069564
2.0561 0.070206
2.0922 0.070661
2.1283 0.070926
2.1643 0.071007
2.2004 0.070921
2.2365 0.070694
2.2725 0.070364
2.3086 0.069978
2.3447 0.069591
2.3808 0.06926
2.4168 0.069038
2.4529 0.068973
2.489 0.069095
2.5251 0.069418
2.5611 0.069936
2.5972 0.070621
2.6333 0.071433
2.6693 0.07232
2.7054 0.073229
2.7415 0.074108
2.7776 0.074915
2.8136 0.075618
2.8497 0.0762
2.8858 0.076653
2.9218 0.076982
2.9579 0.077201
2.994 0.077328
3.0301 0.077382
3.0661 0.077383
3.1022 0.07735
3.1383 0.077299
3.1743 0.077243
3.2104 0.077197
3.2465 0.077173
3.2826 0.077187
3.3186 0.077254
3.3547 0.077391
3.3908 0.077611
3.4269 0.077925
3.4629 0.078334
3.499 0.078831
3.5351 0.079399
3.5711 0.080012
3.6072 0.080636
3.6433 0.081234
3.6794 0.081773
3.7154 0.082225
3.7515 0.082572
3.7876 0.082811
3.8236 0.082951
3.8597 0.083014
3.8958 0.083031
3.9319 0.083035
3.9679 0.083059
4.004 0.083131
4.0401 0.083268
4.0762 0.083474
4.1122 0.083746
4.1483 0.084073
4.1844 0.08444
4.2204 0.084836
4.2565 0.085257
4.2926 0.085706
4.3287 0.086193
4.3647 0.086735
4.4008 0.08735
4.4369 0.08805
4.4729 0.088836
4.509 0.089699
4.5451 0.090613
4.5812 0.09154
4.6172 0.092438
