time quantity 
0 0.00054096
0.0013038 0.00042114
0.0026076 0.00034717
0.0039113 0.00030527
0.0052151 0.00028221
0.0065189 0.00027102
0.0078227 0.00026971
0.0091265 0.00027699
0.01043 0.0002899
0.011734 0.00030429
0.013038 0.00031647
0.014342 0.00032418
0.015645 0.0003269
0.016949 0.00032561
0.018253 0.00032229
0.019557 0.00031931
0.02086 0.00031867
0.022164 0.00032132
0.023468 0.00032694
0.024772 0.00033414
0.026076 0.00034113
0.027379 0.00034644
0.028683 0.00034939
0.029987 0.00035023
0.031291 0.00035002
0.032595 0.00035017
0.033898 0.0003519
0.035202 0.00035571
0.036506 0.00036114
0.03781 0.00036692
0.039113 0.00037142
0.040417 0.00037323
0.041721 0.00037161
0.043025 0.00036681
0.044329 0.00036001
0.045632 0.00035315
0.046936 0.0003483
0.04824 0.00034693
0.049544 0.00034927
0.050847 0.0003542
0.052151 0.00035975
0.053455 0.00036395
0.054759 0.00036548
0.056063 0.0003641
0.057366 0.00036069
0.05867 0.00035687
0.059974 0.00035442
0.061278 0.00035454
0.062581 0.00035739
0.063885 0.00036201
0.065189 0.0003669
0.066493 0.0003706
0.067797 0.00037226
0.0691 0.00037191
0.070404 0.00037042
0.071708 0.00036912
0.073012 0.00036929
0.074316 0.00037163
0.075619 0.0003759
0.076923 0.00038099
0.078227 0.00038538
0.079531 0.00038763
0.080834 0.00038687
0.082138 0.00038309
0.083442 0.00037721
0.084746 0.0003709
0.08605 0.00036607
0.087353 0.00036426
0.088657 0.00036597
0.089961 0.0003705
0.091265 0.0003762
0.092568 0.00038119
0.093872 0.00038403
0.095176 0.00038422
0.09648 0.00038227
0.097784 0.00037955
0.099087 0.00037774
0.10039 0.00037817
0.10169 0.00038126
0.103 0.00038641
0.1043 0.00039236
0.10561 0.0003979
0.10691 0.00040241
0.10821 0.00040611
0.10952 0.00040996
0.11082 0.00041508
0.11213 0.00042216
0.11343 0.00043093
0.11473 0.00044014
0.11604 0.00044802
0.11734 0.00045289
0.11864 0.00045384
0.11995 0.00045101
0.12125 0.00044556
0.12256 0.00043922
0.12386 0.00043356
0.12516 0.00042927
0.12647 0.00042588
0.12777 0.0004223
0.12907 0.00041778
0.13038 0.00041289
0.13168 0.00040985
0.13299 0.0004117
0.13429 0.00042044
0.13559 0.00043535
0.1369 0.0004529
0.1382 0.00046841
0.1395 0.00047826
0.14081 0.00048124
0.14211 0.00047888
0.14342 0.00047449
0.14472 0.00047145
0.14602 0.00047145
0.14733 0.00047389
0.14863 0.00047665
0.14993 0.00047761
0.15124 0.00047579
0.15254 0.00047157
0.15385 0.00046633
0.15515 0.0004617
0.15645 0.00045896
0.15776 0.00045852
0.15906 0.00045995
0.16037 0.0004622
0.16167 0.0004642
0.16297 0.00046536
0.16428 0.00046572
0.16558 0.0004658
0.16688 0.00046623
0.16819 0.00046738
0.16949 0.00046919
0.1708 0.00047128
0.1721 0.00047318
0.1734 0.00047461
0.17471 0.00047567
0.17601 0.00047683
0.17731 0.00047874
0.17862 0.00048183
0.17992 0.00048608
0.18123 0.00049085
0.18253 0.00049518
0.18383 0.00049809
0.18514 0.00049904
0.18644 0.00049818
0.18774 0.00049638
0.18905 0.00049492
0.19035 0.00049499
0.19166 0.00049716
0.19296 0.00050111
0.19426 0.00050585
0.19557 0.00051012
0.19687 0.00051298
0.19817 0.00051418
0.19948 0.00051424
0.20078 0.00051415
0.20209 0.00051489
0.20339 0.00051691
0.20469 0.0005199
0.206 0.000523
0.2073 0.00052518
0.2086 0.00052575
0.20991 0.00052468
0.21121 0.00052258
0.21252 0.00052048
0.21382 0.00051936
0.21512 0.00051969
0.21643 0.00052125
0.21773 0.0005233
0.21904 0.00052501
0.22034 0.00052595
0.22164 0.00052626
0.22295 0.00052654
0.22425 0.00052747
0.22555 0.00052932
0.22686 0.00053171
0.22816 0.00053375
0.22947 0.00053445
0.23077 0.00053324
0.23207 0.00053022
0.23338 0.00052612
0.23468 0.00052195
0.23598 0.0005186
0.23729 0.0005166
0.23859 0.00051614
0.2399 0.00051731
0.2412 0.00052015
0.2425 0.00052458
0.24381 0.00053023
0.24511 0.00053628
0.24641 0.00054172
0.24772 0.00054575
0.24902 0.0005482
0.25033 0.00054964
0.25163 0.00055111
0.25293 0.00055361
0.25424 0.00055752
0.25554 0.00056248
0.25684 0.0005676
0.25815 0.00057186
0.25945 0.00057461
0.26076 0.00057573
0.26206 0.00057554
0.26336 0.00057463
0.26467 0.00057355
0.26597 0.00057261
0.26728 0.00057189
0.26858 0.00057122
0.26988 0.00057037
0.27119 0.00056924
0.27249 0.00056801
0.27379 0.00056717
0.2751 0.00056731
0.2764 0.00056884
